asset_id	path	resolution	source_group	source_atlas	row	col	category	content_type	description	descriptor_source	content_tags	brightness	edge_density	visible_ratio
bulkhead_bulkhead_walls_doors_open_r01c01	32px/BULKHEAD/Bulkhead_walls+doors-open_r01c01_32px.png	32	BULKHEAD	Bulkhead_walls+doors-open	1	1	bulkhead			derived	bulkhead,wall,industrial,walls,architecture,doors,door,entry,open,structure,color_dark_gray,filled,dark,medium_detail	37.73	0.1115	0.9766
bulkhead_bulkhead_walls_doors_open_r01c02	32px/BULKHEAD/Bulkhead_walls+doors-open_r01c02_32px.png	32	BULKHEAD	Bulkhead_walls+doors-open	1	2	bulkhead			derived	bulkhead,wall,industrial,walls,architecture,doors,door,entry,open,structure,color_black,filled,dark,medium_detail	17.4	0.066	0.9922
bulkhead_bulkhead_walls_doors_open_r01c03	32px/BULKHEAD/Bulkhead_walls+doors-open_r01c03_32px.png	32	BULKHEAD	Bulkhead_walls+doors-open	1	3	bulkhead			derived	bulkhead,wall,industrial,walls,architecture,doors,door,entry,open,structure,color_dark_gray,filled,dark,medium_detail	40.85	0.1348	0.9961
bulkhead_bulkhead_walls_doors_open_r01c04	32px/BULKHEAD/Bulkhead_walls+doors-open_r01c04_32px.png	32	BULKHEAD	Bulkhead_walls+doors-open	1	4	bulkhead			derived	bulkhead,wall,industrial,walls,architecture,doors,door,entry,open,structure,color_dark_gray,filled,dark,medium_detail	37.7	0.1282	1.0
bulkhead_bulkhead_walls_doors_open_r01c05	32px/BULKHEAD/Bulkhead_walls+doors-open_r01c05_32px.png	32	BULKHEAD	Bulkhead_walls+doors-open	1	5	bulkhead			derived	bulkhead,wall,industrial,walls,architecture,doors,door,entry,open,structure,color_black,filled,dark,medium_detail	27.14	0.0874	0.9883
bulkhead_bulkhead_walls_doors_open_r02c01	32px/BULKHEAD/Bulkhead_walls+doors-open_r02c01_32px.png	32	BULKHEAD	Bulkhead_walls+doors-open	2	1	bulkhead			derived	bulkhead,wall,industrial,walls,architecture,doors,door,entry,open,structure,color_dark_gray,filled,dark,medium_detail	33.93	0.1211	0.957
bulkhead_bulkhead_walls_doors_open_r02c02	32px/BULKHEAD/Bulkhead_walls+doors-open_r02c02_32px.png	32	BULKHEAD	Bulkhead_walls+doors-open	2	2	bulkhead			derived	bulkhead,wall,industrial,walls,architecture,doors,door,entry,open,structure,color_black,filled,dark,medium_detail	31.39	0.1295	0.9688
bulkhead_bulkhead_walls_doors_open_r02c03	32px/BULKHEAD/Bulkhead_walls+doors-open_r02c03_32px.png	32	BULKHEAD	Bulkhead_walls+doors-open	2	3	bulkhead			derived	bulkhead,wall,industrial,walls,architecture,doors,door,entry,open,structure,color_dark_gray,filled,dark,medium_detail	35.71	0.13	0.957
bulkhead_bulkhead_walls_doors_open_r02c04	32px/BULKHEAD/Bulkhead_walls+doors-open_r02c04_32px.png	32	BULKHEAD	Bulkhead_walls+doors-open	2	4	bulkhead			derived	bulkhead,wall,industrial,walls,architecture,doors,door,entry,open,structure,color_black,filled,dark,low_detail	10.49	0.0376	0.9609
bulkhead_bulkhead_walls_doors_open_r02c05	32px/BULKHEAD/Bulkhead_walls+doors-open_r02c05_32px.png	32	BULKHEAD	Bulkhead_walls+doors-open	2	5	bulkhead			derived	bulkhead,wall,industrial,walls,architecture,doors,door,entry,open,structure,color_black,filled,dark,medium_detail	30.34	0.1228	0.957
bulkhead_bulkhead_walls_doors_open_r03c01	32px/BULKHEAD/Bulkhead_walls+doors-open_r03c01_32px.png	32	BULKHEAD	Bulkhead_walls+doors-open	3	1	bulkhead			derived	bulkhead,wall,industrial,walls,architecture,doors,door,entry,open,structure,color_dark_gray,filled,dark,medium_detail	40.45	0.1309	0.9961
bulkhead_bulkhead_walls_doors_open_r03c02	32px/BULKHEAD/Bulkhead_walls+doors-open_r03c02_32px.png	32	BULKHEAD	Bulkhead_walls+doors-open	3	2	bulkhead			derived	bulkhead,wall,industrial,walls,architecture,doors,door,entry,open,structure,color_black,filled,dark,medium_detail	23.75	0.0796	0.9922
bulkhead_bulkhead_walls_doors_open_r03c03	32px/BULKHEAD/Bulkhead_walls+doors-open_r03c03_32px.png	32	BULKHEAD	Bulkhead_walls+doors-open	3	3	bulkhead			derived	bulkhead,wall,industrial,walls,architecture,doors,door,entry,open,structure,color_dark_gray,filled,dark,medium_detail	34.68	0.1408	0.9961
