path	node_id	zone_id	zone_label	status	classes	functions	lines	bytes	sha256
src/mechanist/AbstractDistantZoneSimulation.java	M_src_mechanist_AbstractDistantZoneSimulation_java	UI_INPUT	UI Input Navigation	positioned	3	9	140	6000	e3de6c94733229ac182fd2ecfe0f1d4b632ca8bfd689162e4a1c95e0174e6778
src/mechanist/AccessibilityCompatibilityAuthority.java	M_src_mechanist_AccessibilityCompatibilityAuthority_java	UI_RENDER	UI Render Surfaces	positioned	2	11	137	6191	fca106671a49e88a11af0f85bdde20acd8ae62778e877421157f970a896e4c18
src/mechanist/AccessibilityRuntimeOptionsSubsystem.java	M_src_mechanist_AccessibilityRuntimeOptionsSubsystem_java	UI_RENDER	UI Render Surfaces	positioned	1	10	76	3605	aee716a87575b469e0e23edfbd3160ac55c680d5962e9d12068c361f620fa89f
src/mechanist/AdminCommandDispatcher.java	M_src_mechanist_AdminCommandDispatcher_java	UI_RENDER	UI Render Surfaces	positioned	2	34	342	19055	31fc46253d30737b5c2afca7f2521e4b0a8934672c3ef52c4c5af919f8ccb001
src/mechanist/AdminDeobfuscatorPanel.java	M_src_mechanist_AdminDeobfuscatorPanel_java	UI_RENDER	UI Render Surfaces	positioned	1	13	257	11230	385e227de21b70950a5126ef851e33a16507f715183b502432aefbb0a69315f9
src/mechanist/AdminSecurityLogger.java	M_src_mechanist_AdminSecurityLogger_java	UI_INPUT	UI Input Navigation	positioned	1	5	53	2266	a2cc9fa46e954239814c9f317b2e8e8314024618127005d391bd0ece30d4f6fa
src/mechanist/AfkSessionWatchdog.java	M_src_mechanist_AfkSessionWatchdog_java	UI_INPUT	UI Input Navigation	positioned	3	8	64	3006	d976f48e7704d73aba112cb41854b1ca420bc92c2afb4067d43465c44f13b78d
src/mechanist/AgeAndWorldTimeAuthority.java	M_src_mechanist_AgeAndWorldTimeAuthority_java	UI_RENDER	UI Render Surfaces	positioned	1	15	111	5312	66e43d28da3a48f2564b7f217ba10e27ad9f63f82a880e35d75bea92e1ada5dd
src/mechanist/AppIconAuthority.java	M_src_mechanist_AppIconAuthority_java	UI_RENDER	UI Render Surfaces	positioned	1	6	91	3533	a31b18b0198f4ecf87ad3efa24d7b7164f4af058ebb4854fd505b0292e554518
src/mechanist/ApplicationRuntimeMode.java	M_src_mechanist_ApplicationRuntimeMode_java	UI_INPUT	UI Input Navigation	positioned	1	1	25	727	a289c4bdb3a5ffd169a7686741dcaa0db594c3b0073e89c8f886b80d7b499bf6
src/mechanist/ArbitesPrecinctFixtureAuthority.java	M_src_mechanist_ArbitesPrecinctFixtureAuthority_java	UI_RENDER	UI Render Surfaces	positioned	2	18	202	13730	facf2be78e543fcb1b9c0038cb59dd1f3777b3ea84b545a6afa1369adae6b5f5
src/mechanist/ArtPackManager.java	M_src_mechanist_ArtPackManager_java	UI_RENDER	UI Render Surfaces	positioned	2	19	360	14389	ce3860d161f26353cf960de96fa55a58e5fc493b35a5d758b9697b127b43b915
src/mechanist/AssetIntegrationDisciplineAuthority.java	M_src_mechanist_AssetIntegrationDisciplineAuthority_java	UI_RENDER	UI Render Surfaces	positioned	1	8	518	35358	5c93fff96f38ec5d7408c20aee9099123edf9ce924cbd3574a97bec7e3f05beb
