function	count	file_count	classes	paths
AfkSessionWatchdog	2	1	TimeoutPlan	src/mechanist/AfkSessionWatchdog.java
AuditFinding	2	2	AuditFinding	src/mechanist/SectorAuditRuntimeAuthority.java, src/mechanist/assets/SemanticAssetPathAudit.java
ButtonBox	2	1	ButtonBox	src/mechanist/UiRuntimeSupportFramework.java
ChatRuntimeAuthority	2	1	AsyncChatLogger, ChatRuntimeAuthority	src/mechanist/ChatRuntimeAuthority.java
ContainerRecord	2	1	ContainerRecord	src/mechanist/ItemEconomyFramework.java
CrashDeobfuscatorEngine	2	1	CrashDeobfuscatorEngine	src/mechanist/CrashDeobfuscatorEngine.java
DeploymentException	2	1	DeploymentException	src/mechanist/ModDeploymentManager.java
EntityInterpolationBuffer	2	1	EntityInterpolationBuffer	src/mechanist/EntityInterpolationBuffer.java
Entry	2	2	Entry	src/mechanist/NameLockedProfilePortraitAuthority.java, src/mechanist/TileInfopediaAuthority.java
HybridEncryptionManager	2	1	HybridEncryptionManager	src/mechanist/HybridEncryptionManager.java
ItemInstance	2	1	ItemInstance	src/mechanist/ItemEconomyFramework.java
KeybindingRemappingPanel	2	1	KeybindingRemappingPanel	src/mechanist/ui/KeybindingRemappingPanel.java
Layout	2	2	Layout	src/mechanist/OptionsScreenPainter.java, src/mechanist/RenderScalingCrtAuthority.java
LocalHostSettingsPanel	2	1	LocalHostSettingsPanel	src/mechanist/LocalHostPanels.java
LoginProtectionTracker	2	1	ProtectionState	src/mechanist/LoginProtectionTracker.java
NatTraversalManager	2	1	NatTraversalManager	src/mechanist/NatTraversalManager.java
NetworkPacketPolicer	2	1	Decision	src/mechanist/NetworkPacketPolicer.java
PacketRateLimiter	2	1	PacketRateLimiter	src/mechanist/PacketRateLimiter.java
PacketSecurityException	2	1	PacketSecurityException	src/mechanist/AuthoritativeAeadPacketValidator.java
Result	7	7	Result	src/mechanist/EconomicGenerationBiasAuthority.java, src/mechanist/EconomicLocalTopologyMetadataSurfaceAuthority.java, src/mechanist/EconomicTopologyMapIntelBridgeAuthority.java, src/mechanist/EconomicTopologyReportingOverlayAuthority.java, src/mechanist/RetargetReadinessAuditAuthority.java, src/mechanist/SelfEntombmentConstructionAuthority.java, src/mechanist/WorldEconomyInitializationAuthority.java
SaveConversionException	2	1	SaveConversionException	src/mechanist/LocalWorldSaveStateSeparator.java
SectorManager	2	1	SectorManager	src/mechanist/SectorManager.java
SecureChatCryptoException	2	1	SecureChatCryptoException	src/mechanist/HybridEncryptionManager.java
SecureLocalSaveValidationManager	2	1	ValidationResult	src/mechanist/SecureLocalSaveValidationManager.java
ServerAdminEvent	2	1	Kind	src/mechanist/server/admin/ServerAdminEvent.java
ServerAdminLog	2	1	ServerAdminLog	src/mechanist/server/admin/ServerAdminLog.java
SnapshotDeltaCompressor	2	1	SnapshotDeltaCompressor	src/mechanist/SnapshotDeltaCompressor.java
SquareCommandAction	2	1	SquareCommandAction	src/mechanist/ui/SquareCommandAction.java
SquareCommandBar	2	1	SquareCommandBar	src/mechanist/ui/SquareCommandBar.java
Step	2	1	Step	src/mechanist/SectorGenerationTraceAuthority.java
Surface	3	3	Surface	src/mechanist/EconomicTopologyMapIntelBridgeAuthority.java, src/mechanist/EconomicTopologyReportingOverlayAuthority.java, src/mechanist/RetargetReadinessAuditAuthority.java
TradeOffer	2	1	TradeOffer	src/mechanist/ContainerTradeFramework.java
ValidationResult	3	3	ValidationResult	src/mechanist/BlueprintConstructionAuthority.java, src/mechanist/SecureLocalSaveValidationManager.java, src/mechanist/StaffingRoleSkillValidationAuthority.java
Variant	9	9	Variant	src/mechanist/ArbitesPrecinctFixtureAuthority.java, src/mechanist/BarMarketSocialFixtureAuthority.java, src/mechanist/DomesticHabFixtureAuthority.java, src/mechanist/FoodBioProductionFixtureAuthority.java, src/mechanist/GuardPdfDefenseFixtureAuthority.java, src/mechanist/IndustrialForgeFixtureAuthority.java, src/mechanist/LabChemicalFixtureAuthority.java, src/mechanist/MedicaeFixtureAuthority.java, src/mechanist/NobleEstateSecurityFixtureAuthority.java
WorldAtlas	2	1	WorldAtlas	src/mechanist/WorldRuntimeGenerationFramework.java
accept	2	2	EntityInterpolationBuffer, EulaConsentAuthority	src/mechanist/EntityInterpolationBuffer.java, src/mechanist/EulaConsentAuthority.java
acceptJvmSettingsAndRestart	2	2	JvmRuntimeOptionsSubsystem, LayerJ	src/mechanist/JvmRuntimeOptionsSubsystem.java, src/mechanist/LayerJ.java
action	2	2	SquareCommandAction, State	src/mechanist/server/admin/ServerMaintenanceResult.java, src/mechanist/ui/SquareCommandAction.java
activate	2	2	MultiplayerMenuController, RouteDescriptor	src/mechanist/LauncherShellStateAuthority.java, src/mechanist/MultiplayerMenuController.java
