name	start_line	end_line	line_count	priority	recommendation
rebuildButtons	1059	1777	719	immediate	first seam extraction target
panelLines	19299	19549	251	immediate	first seam extraction target
handleKeyPressed	20845	21084	240	immediate	first seam extraction target
drawCharacter	12481	12649	169	high	oversized method; split after first seam pass
productionInfopediaLines	13076	13216	141	medium	large method; inspect after high-priority seams
infopediaDetailLines	12935	13074	140	medium	large method; inspect after high-priority seams
drawGame	14704	14840	137	immediate	first seam extraction target
drawIntroCrawl	12000	12131	132	immediate	first seam extraction target
auditInfopediaLines	13230	13359	130	medium	large method; inspect after high-priority seams
drawOptions	20439	20568	130	immediate	first seam extraction target
mouseClicked	20742	20839	98	immediate	first seam extraction target
infopediaEntries	12842	12933	92	medium	large method; inspect after high-priority seams
interactAt	7080	7168	89	medium	large method; inspect after high-priority seams
drawSectorAuditDiagnosticOverlays	11603	11682	80	medium	large method; inspect after high-priority seams
drawMultiplayerSurface	11863	11941	79	render	render helper candidate
survivalInfopediaLines	13397	13473	77	normal	leave until owning subsystem is clearer
drawLookDetailPanel	17427	17503	77	render	render helper candidate
drawSectorAuditSurface	11425	11500	76	render	render helper candidate
describeTile	19686	19761	76	normal	leave until owning subsystem is clearer
examineLinesAt	1995	2065	71	normal	leave until owning subsystem is clearer
scanForDistantSounds	5630	5699	70	normal	leave until owning subsystem is clearer
paintComponent	10239	10307	69	normal	leave until owning subsystem is clearer
interactDoorAt	7170	7236	67	normal	leave until owning subsystem is clearer
handleArbitesCapture	6025	6090	66	normal	leave until owning subsystem is clearer
drawBoot	10429	10488	60	render	render helper candidate
finishLoadingNewGame	10134	10192	59	normal	leave until owning subsystem is clearer
contextInputPromptLines	16147	16205	59	normal	leave until owning subsystem is clearer
drawInventoryStackPanel	16462	16520	59	render	render helper candidate
drawCharacterDossierPanel	16843	16900	58	render	render helper candidate
drawLoading	17276	17333	58	render	render helper candidate
drawMenu	11943	11998	56	render	render helper candidate
performCombatAttackAt	4840	4894	55	normal	leave until owning subsystem is clearer
maybeNpcRangedAttack	4978	5031	54	normal	leave until owning subsystem is clearer
updatePendingInteractionSummary	2386	2438	53	normal	leave until owning subsystem is clearer
interactVendingMachine	2643	2695	53	normal	leave until owning subsystem is clearer
processUnifiedInputRegistry	21085	21137	53	normal	leave until owning subsystem is clearer
drawEulaOverlay	13887	13938	52	render	render helper candidate
performCombatAttack	4896	4946	51	normal	leave until owning subsystem is clearer
clampButtonsToVisibleMenuBounds	14118	14168	51	normal	leave until owning subsystem is clearer
drawBuildDetailPanel	17335	17385	51	render	render helper candidate
interactEmergencyMachine	2591	2640	50	normal	leave until owning subsystem is clearer
drawMapTileIcon	15758	15807	50	render	render helper candidate
tileStackAt	1883	1931	49	normal	leave until owning subsystem is clearer
rebuildInGameEditorButtons	11134	11182	49	normal	leave until owning subsystem is clearer
drawRecentActionFeed	16023	16071	49	render	render helper candidate
scavengeFor	6167	6214	48	normal	leave until owning subsystem is clearer
drawInGameEditorSurface	11184	11231	48	render	render helper candidate
drawDiegeticMapPanel	16951	16998	48	render	render helper candidate
runRecruitProductionShift	8671	8716	46	normal	leave until owning subsystem is clearer
drawInGameRoomEditor	11249	11294	46	render	render helper candidate
targetingSolutionAt	4519	4563	45	normal	leave until owning subsystem is clearer
tryPlayerPushPast	3785	3828	44	normal	leave until owning subsystem is clearer
drawLookIntentOverlay	15561	15604	44	render	render helper candidate
handleInterrogation	5930	5972	43	normal	leave until owning subsystem is clearer
maybeRollZoneTransitionEvent	7469	7511	43	normal	leave until owning subsystem is clearer
drawWorldSetup	10913	10955	43	render	render helper candidate
baseManagementLines	18268	18310	43	normal	leave until owning subsystem is clearer
updateSensoryModel	5566	5607	42	normal	leave until owning subsystem is clearer
clearExpiredPanelState	784	824	41	normal	leave until owning subsystem is clearer
configureBaseObject	7983	8023	41	normal	leave until owning subsystem is clearer
addInfopediaButtons	12652	12692	41	normal	leave until owning subsystem is clearer
bodyInfopediaLines	13512	13552	41	normal	leave until owning subsystem is clearer
drawEnvironmentalHazardOverlays	14917	14957	41	render	render helper candidate
drawPanel	16301	16341	41	render	render helper candidate
colorFor	19790	19830	41	normal	leave until owning subsystem is clearer
evaluateFactionPressure	5862	5901	40	normal	leave until owning subsystem is clearer
progressLoading	9839	9878	40	normal	leave until owning subsystem is clearer
advanceTurnBody	3201	3239	39	normal	leave until owning subsystem is clearer
runGeneratedProductionJob	8609	8647	39	normal	leave until owning subsystem is clearer
openBankVaultAt	9196	9234	39	normal	leave until owning subsystem is clearer
drawSectorAuditTraceMarker	11527	11565	39	render	render helper candidate
medicalInfopediaLines	13554	13592	39	normal	leave until owning subsystem is clearer
drawRankBadge	15975	16013	39	render	render helper candidate
useUtilityInventoryItem	18013	18051	39	normal	leave until owning subsystem is clearer
maybeTriggerFactionStrategicRaid	19152	19190	39	normal	leave until owning subsystem is clearer
renderGameSurface	10309	10346	38	normal	leave until owning subsystem is clearer
drawModsSurface	11016	11053	38	render	render helper candidate
drawInventoryIconGrid	16590	16627	38	render	render helper candidate
handleInventoryStackPanelClick	16645	16682	38	normal	leave until owning subsystem is clearer
drawCombatTargetDetailPanel	17389	17425	37	render	render helper candidate
handleOccupiedMovementTarget	3748	3783	36	normal	leave until owning subsystem is clearer
applyStrayImpactDamage	4793	4828	36	normal	leave until owning subsystem is clearer
runManualSelectedProductionJob	8572	8607	36	normal	leave until owning subsystem is clearer
drawSectorAuditInfoPanel	11802	11837	36	render	render helper candidate
combatInfopediaLines	13475	13510	36	normal	leave until owning subsystem is clearer
graphicsDropdownOuterRect	14264	14299	36	normal	leave until owning subsystem is clearer
flowSaveLoadButtons	14459	14494	36	normal	leave until owning subsystem is clearer
drawMapObjectIcon	15833	15868	36	render	render helper candidate
rebuildLightLevelCache	5282	5316	35	normal	leave until owning subsystem is clearer
takeSectorRailToNewSector	7269	7303	35	normal	leave until owning subsystem is clearer
createCorpseLootContainer	9614	9648	35	normal	leave until owning subsystem is clearer
drawZoneAuditGenerationLogOverlay	11567	11601	35	render	render helper candidate
roomInfopediaLines	13361	13395	35	normal	leave until owning subsystem is clearer
detonateExplosiveAt	4383	4416	34	normal	leave until owning subsystem is clearer
begForImperialScript	6301	6334	34	normal	leave until owning subsystem is clearer
drawSectorAuditZoneDropdown	11760	11793	34	render	render helper candidate
knowledgeReferenceLines	13655	13688	34	normal	leave until owning subsystem is clearer
drawSemanticAssetInfopediaIcon	14048	14081	34	render	render helper candidate
drawCombatAnimations	15023	15056	34	render	render helper candidate
drawMovementGhostPath	15382	15415	34	render	render helper candidate
semanticTileImageForRenderedGlyph	15632	15665	34	normal	leave until owning subsystem is clearer
drawCommandTablet	16097	16130	34	render	render helper candidate
maybeTriggerBaseRaid	18877	18910	34	normal	leave until owning subsystem is clearer
drawSaveLoadPanel	19586	19619	34	render	render helper candidate
tickNearbyNpcs	3894	3926	33	normal	leave until owning subsystem is clearer
regenerateSectorAuditWorld	10633	10665	33	normal	leave until owning subsystem is clearer
drawInGameEditorInspector	11296	11328	33	render	render helper candidate
drawTileInfopediaIcon	14083	14115	33	render	render helper candidate
beginManualMovementPlan	15147	15179	33	normal	leave until owning subsystem is clearer
intentReadFor	15422	15454	33	normal	leave until owning subsystem is clearer
rangedCoverPenalty	4590	4621	32	normal	leave until owning subsystem is clearer
completeAtlasWorldLoad	7436	7467	32	normal	leave until owning subsystem is clearer
drawInfopediaEntryList	13997	14028	32	render	render helper candidate
transferContainerItemAt	17716	17747	32	normal	leave until owning subsystem is clearer
applyAuthorityFacilityInspectionFromNews	6930	6960	31	normal	leave until owning subsystem is clearer
confirmBuildPlacement	7914	7944	31	normal	leave until owning subsystem is clearer
tamperBankAlarmPanelAt	9337	9367	31	normal	leave until owning subsystem is clearer
materializeEquippedClothingItem	10194	10224	31	normal	leave until owning subsystem is clearer
deleteSelectedWorldDefinition	10839	10869	31	normal	leave until owning subsystem is clearer
