file	line	column	kind	message
javac.exe : C:\GITS\The Mechanist\TheMechanist\src\mechanist\LegacyPanelBridgeBase.java	125		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MainMenuSurfacePainter.java	17		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MainMenuSurfacePainter.java	18		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MainMenuSurfacePainter.java	36		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MouseGamePanelController.java	11		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MultiplayerSurfacePainter.java	48		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MultiplayerSurfacePainter.java	48		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MultiplayerSurfacePainter.java	48		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MultiplayerSurfacePainter.java	51		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MultiplayerSurfacePainter.java	62		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MultiplayerSurfacePainter.java	64		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MultiplayerSurfacePainter.java	79		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MultiplayerSurfacePainter.java	81		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MultiplayerSurfacePainter.java	99		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MultiplayerSurfacePainter.java	105		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MultiplayerSurfacePainter.java	106		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\OptionsScreenPainter.java	69		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\OptionsScreenPainter.java	74		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\OptionsScreenPainter.java	87		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\OptionsScreenPainter.java	88		error	cannot find symbol
