file	line	column	kind	message
javac.exe : C:\GITS\The Mechanist\TheMechanist\src\mechanist\LegacyPanelContext.java	82		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\LegacyPanelContext.java	82		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\VisualLightingAuthority.java	103		error	incompatible types: possible lossy conversion from float to int
C:\GITS\The Mechanist\TheMechanist\src\mechanist\VisualLightingAuthority.java	147		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\LegacyPanelContextAdapters.java	47		error	incompatible types: possible lossy conversion from long to int
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MainMenuSurfacePainter.java	17		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MainMenuSurfacePainter.java	18		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MainMenuSurfacePainter.java	36		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MouseGamePanelController.java	11		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MultiplayerSurfacePainter.java	48		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MultiplayerSurfacePainter.java	48		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MultiplayerSurfacePainter.java	48		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MultiplayerSurfacePainter.java	51		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MultiplayerSurfacePainter.java	62		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MultiplayerSurfacePainter.java	64		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MultiplayerSurfacePainter.java	79		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\MultiplayerSurfacePainter.java	81		error	cannot find symbol
