file	line	column	kind	message
javac.exe : src\mechanist\GamePanel.java	21		error	cannot find symbol
src\mechanist\GamePanel.java	15797		error	cannot find symbol
src\mechanist\GamePanel.java	15835		error	cannot find symbol
src\mechanist\TileArtSystem.java	42		error	method error in class DebugLog cannot be applied to given types;
src\mechanist\TileArtSystem.java	53		error	method error in class DebugLog cannot be applied to given types;
src\mechanist\GeneratedArtPayloadOptionsSubsystem.java	14		error	cannot find symbol
src\mechanist\GeneratedArtPayloadOptionsSubsystem.java	35		error	cannot find symbol
src\mechanist\GeneratedArtPayloadOptionsSubsystem.java	49		error	cannot find symbol
src\mechanist\LayerG.java	24		error	cannot find symbol
src\mechanist\OptionsScreenPainter.java	159		error	cannot find symbol
src\mechanist\OptionsScreenPainter.java	181		error	cannot find symbol
src\mechanist\RuntimePathResolver.java	42		error	cannot find symbol
src\mechanist\TileInfopediaAuthority.java	237		error	cannot find symbol
