top,before_files,before_bytes,after_files,after_bytes,removed_files,removed_bytes
.github,1,3514,0,0,1,3514
EULA.md,1,2917,1,2917,0,0
NEW_DEVELOPMENT_CONVERSATION_BRIEFING.md,1,50365,1,50365,0,0
PACKAGING_PIPELINE.md,1,11603,1,11603,0,0
PLAY_THE_MECHANIST_LINUX.sh,1,267,1,267,0,0
README.md,1,31210,1,31210,0,0
RUN_INSTRUCTIONS.md,1,1368,1,1368,0,0
RUN_MECHANIST_SERVER_LINUX.sh,1,109,1,109,0,0
RUN_MECHANIST_SERVER_WINDOWS.bat,1,664,1,664,0,0
RUN_MECHANIST_SERVER_WINDOWS.ps1,1,9932,1,9932,0,0
RUN_THE_MECHANIST_WINDOWS.bat,1,641,1,641,0,0
RUN_THE_MECHANIST_WINDOWS.ps1,1,15067,1,15067,0,0
RUN_THE_MECHANIST_WINDOWS_VERBOSE.bat,1,145,1,145,0,0
SERVER_README.md,1,7462,1,7462,0,0
The Mechanist.desktop,1,290,1,290,0,0
TheMechanist.jar,1,2980403,1,2980403,0,0
TheMechanistServer.jar,1,2980408,1,2980408,0,0
WINDOWS_QUICK_START.md,1,3044,1,3044,0,0
assets,832,35809323,813,31468240,19,4341083
build,1171,6442723,0,0,1171,6442723
build_sources.txt,1,2127,1,2127,0,0
config,6,6470,0,0,6,6470
deploy,3,2282,0,0,3,2282
docs,1942,104752141,20,918970,1922,103833171
install_linux_launcher.sh,1,1535,1,1535,0,0
lib,3,2125,3,2125,0,0
logs,4,840250,0,0,4,840250
manifest.mf,1,35,1,35,0,0
manifest.txt,1,35,1,35,0,0
manifest_server.mf,1,64,1,64,0,0
modding,13,38561,13,38561,0,0
packaging,4,1289,0,0,4,1289
pom.xml,1,16304,1,16304,0,0
profiles,1,615,1,615,0,0
run_linux.sh,1,4537,1,4537,0,0
saves,12,71476649,0,0,12,71476649
scripts,8,20311,8,20311,0,0
settings,5,4649,5,4649,0,0
sources.txt,1,15208,1,15208,0,0
src,271,5147708,262,5097114,9,50594
tools,16,81366,10,31318,6,50048
